Year,Season Type,PLAYER,TEAM,GP,MIN,PTS,PPG,TeamPTS,TeamPPG_proxy,ScoringLoadPct,ScoringLoad_PG,FGA,FG3A,FTA,EFF
2024-25,Regular Season,Jordan Clarkson,UTA,37,962,600,16.216216216216218,8157,12.988853503184714,7.355645457888929,124.8471715555202,493,232,143,489
2024-25,Regular Season,Terry Rozier,MIA,64,1658,679,10.609375,9262,11.76874205844981,7.331030015115527,90.14875971712372,635,308,108,654
2024-25,Regular Season,Tyrese Martin,BKN,60,1315,523,8.716666666666667,7135,11.307448494453249,7.330063069376314,77.08782994627424,465,282,58,545
2024-25,Regular Season,Bobby Portis,MIL,49,1244,680,13.877551020408163,9309,13.750369276218612,7.3047588355355035,100.92493329913337,595,178,73,869
2024-25,Regular Season,Cole Anthony,MEM,67,1234,630,9.402985074626866,8675,11.566666666666666,7.262247838616714,81.29381908899308,543,218,113,666
2024-25,Regular Season,Bogdan Bogdanović,LAC,54,1348,583,10.796296296296296,8091,13.242225859247135,7.205537016438017,81.52931698228943,492,289,66,576
2024-25,Regular Season,Keon Ellis,SAC,80,1948,666,8.325,9248,14.054711246200608,7.201557093425605,59.2328070934256,464,321,86,861
2024-25,Regular Season,Isaiah Hartenstein,OKC,57,1590,637,11.175438596491228,8865,13.722910216718267,7.18556119571348,81.43636021808611,480,19,117,1241
2024-25,Regular Season,Immanuel Quickley,TOR,33,918,564,17.09090909090909,7902,11.724035608308606,7.137433561123766,145.7766733393157,438,225,128,570
2024-25,Regular Season,Andrew Nembhard,IND,65,1881,653,10.046153846153846,9182,11.971316818774445,7.111740361576999,83.91853626660858,539,175,136,853
2024-25,Regular Season,Dejounte Murray,NOP,31,1012,542,17.483870967741936,7654,12.072555205047319,7.081264698197021,144.8232844728036,494,174,124,617
2024-25,Regular Season,Dorian Finney-Smith,LAL,63,1819,549,8.714285714285714,7781,13.461937716262975,7.0556483742449565,64.73277397323149,435,314,45,656
2024-25,Regular Season,Taurean Prince,MIL,80,2166,656,8.2,9309,13.750369276218612,7.04694381781072,59.634762058223224,514,335,48,819
2024-25,Regular Season,Deandre Ayton,POR,40,1206,576,14.4,8182,12.804381846635367,7.039843559032022,112.46150085553654,468,32,60,824
2024-25,Regular Season,Zach Edey,MEM,66,1416,610,9.242424242424242,8675,11.566666666666666,7.031700288184438,79.90568509300498,433,52,127,1037
2024-25,Regular Season,Johnny Juzang,UTA,64,1270,571,8.921875,8157,12.988853503184714,7.000122594090964,68.6887029545176,475,314,53,555
2024-25,Regular Season,Miles McBride,NYK,64,1593,611,9.546875,8766,15.570159857904086,6.970111795573808,61.31520220168834,547,312,64,665
2024-25,Regular Season,Tristan da Silva,ORL,74,1629,533,7.202702702702703,7689,12.793677204658902,6.93198075172324,56.298924753860376,483,239,63,594
2024-25,Regular Season,Dalano Banton,POR,67,1120,559,8.343283582089553,8182,12.804381846635367,6.83207039843559,65.15959678507974,507,222,125,502
2024-25,Regular Season,Mike Conley,MIN,71,1756,582,8.19718309859155,8547,14.316582914572864,6.809406809406809,57.25656148191361,468,310,90,811
2024-25,Regular Season,Jamal Shead,TOR,75,1467,533,7.1066666666666665,7902,11.724035608308606,6.74512781574285,60.61621530414241,504,223,69,599
2024-25,Regular Season,Jusuf Nurkić,CHA,51,1063,453,8.882352941176471,6788,11.182866556836903,6.673541543901002,79.4282297479982,352,105,128,716
2024-25,Regular Season,Luke Kennard,MEM,65,1472,576,8.861538461538462,8675,11.566666666666666,6.639769452449568,76.61272445134118,431,261,57,726
2024-25,Regular Season,Sam Hauser,BOS,71,1541,605,8.52112676056338,9120,13.797276853252647,6.633771929824562,61.75948233259204,474,399,11,664
2024-25,Regular Season,Jeremy Sochan,SAS,54,1364,617,11.425925925925926,9336,13.510853835021708,6.6088260497000855,84.56849630264368,469,91,125,829
2024-25,Regular Season,Seth Curry,CHA,68,1062,444,6.529411764705882,6788,11.182866556836903,6.5409546258102536,58.38763908627682,343,182,39,434
2024-25,Regular Season,Julian Strawther,DEN,65,1384,588,9.046153846153846,9004,16.31159420289855,6.530430919591293,55.45842873252913,486,269,90,519
2024-25,Regular Season,Goga Bitadze,ORL,70,1429,502,7.171428571428572,7689,12.793677204658902,6.528807387176486,56.05447485275812,339,28,133,997
2024-25,Regular Season,Ayo Dosunmu,CHI,46,1394,566,12.304347826086957,8713,10.143189755529686,6.496040399403191,121.30649354537697,449,189,79,682
2024-25,Regular Season,Patrick Williams,CHI,63,1576,566,8.984126984126984,8713,10.143189755529686,6.496040399403191,88.57299528710064,516,272,83,587
2024-25,Regular Season,Kel'el Ware,MIA,64,1422,595,9.296875,9262,11.76874205844981,6.4240984668538115,78.99633583459295,464,111,67,953
2024-25,Regular Season,Cason Wallace,OKC,68,1876,568,8.352941176470589,8865,13.722910216718267,6.4072194021432605,60.86858432036097,489,208,37,802
2024-25,Regular Season,Chris Boucher,TOR,50,862,502,10.04,7902,11.724035608308606,6.352822070361934,85.63604150847885,370,193,87,572
2024-25,Regular Season,Justin Edwards,PHI,44,1155,445,10.113636363636363,7007,12.602517985611511,6.350792065077779,80.25091791325558,378,190,46,454
2024-25,Regular Season,Davion Mitchell,MIA,74,2027,588,7.945945945945946,9262,11.76874205844981,6.348520837832002,67.51737701856466,476,211,84,799
2024-25,Regular Season,Trendon Watford,BKN,44,913,450,10.227272727272727,7135,11.307448494453249,6.306937631394534,90.44721921386252,350,88,122,466
2024-25,Regular Season,Nick Richards,PHX,57,1256,529,9.280701754385966,8392,12.562874251497005,6.303622497616777,73.87403207733347,347,2,160,849
2024-25,Regular Season,Khris Middleton,WAS,37,843,440,11.891891891891891,7013,11.747068676716918,6.274062455439898,101.2328455648005,337,133,84,525
2024-25,Regular Season,Brandon Clarke,MEM,64,1207,534,8.34375,8675,11.566666666666666,6.155619596541786,72.13616714697406,380,17,87,803
2024-25,Regular Season,Jaime Jaquez Jr.,MIA,66,1368,570,8.636363636363637,9262,11.76874205844981,6.154178363204491,73.3839147248778,462,119,142,719
2024-25,Regular Season,Peyton Watson,DEN,68,1656,551,8.102941176470589,9004,16.31159420289855,6.119502443358507,49.67596101079259,428,136,137,697
2024-25,Regular Season,Ryan Dunn,PHX,74,1410,511,6.905405405405405,8392,12.562874251497005,6.0891325071496665,54.96676371318888,477,264,39,587
2024-25,Regular Season,Ausar Thompson,DET,59,1328,594,10.067796610169491,9810,11.833534378769603,6.055045871559633,85.07852589021925,460,49,142,824
2024-25,Regular Season,Jalen Smith,CHI,64,962,524,8.1875,8713,10.143189755529686,6.0140020658785724,80.71918397796397,408,222,89,735
2024-25,Regular Season,Moussa Diabaté,CHA,71,1241,403,5.676056338028169,6788,11.182866556836903,5.936947554507955,50.75672064206097,280,6,116,762
2024-25,Regular Season,Gabe Vincent,LAL,72,1527,460,6.388888888888889,7781,13.461937716262975,5.911836524868269,47.45890988019249,420,309,21,415
2024-25,Regular Season,Al Horford,BOS,60,1659,538,8.966666666666667,9120,13.797276853252647,5.8991228070175445,64.98866959064328,461,314,38,806
2024-25,Regular Season,Aaron Nesmith,IND,45,1122,541,12.022222222222222,9182,11.971316818774445,5.891962535395338,100.42522810329389,379,195,80,594
2024-25,Regular Season,Noah Clowney,BKN,46,1042,420,9.130434782608695,7135,11.307448494453249,5.886475122634898,80.74708266049176,372,261,80,388
2024-25,Regular Season,Kris Dunn,LAC,74,1783,474,6.405405405405405,8091,13.242225859247135,5.85836114200964,48.37106294280933,437,224,22,764
2024-25,Regular Season,Brandon Boston,NOP,42,993,448,10.666666666666666,7654,12.072555205047319,5.853148680428534,88.35467293789738,381,140,85,451
2024-25,Regular Season,Terance Mann,ATL,67,1414,517,7.7164179104477615,8854,12.541076487252125,5.839168737293878,61.52915117208176,413,163,68,623
2024-25,Regular Season,AJ Green,MIL,73,1659,541,7.410958904109589,9309,13.750369276218612,5.811580191212805,53.89643547193245,424,363,27,580
2024-25,Regular Season,Cam Whitmore,HOU,51,827,477,9.352941176470589,8242,13.99320882852292,5.7874302353797615,66.83914526742511,403,183,72,433
2024-25,Regular Season,Cameron Payne,NYK,72,1090,500,6.944444444444445,8766,15.570159857904086,5.703855806525211,44.60098359824575,446,256,54,538
2024-25,Regular Season,Ja'Kobe Walter,TOR,52,1103,449,8.634615384615385,7902,11.724035608308606,5.682105796001012,73.64883281739773,393,186,83,442
2024-25,Regular Season,Jaden Hardy,DAL,57,907,496,8.701754385964913,8738,13.42242703533026,5.676356145571069,64.8299622941538,414,197,86,357
2024-25,Regular Season,Day'Ron Sharpe,BKN,50,907,397,7.94,7135,11.307448494453249,5.564120532585845,70.21920112123335,317,45,74,668
2024-25,Regular Season,Clint Capela,ATL,55,1176,488,8.872727272727273,8854,12.541076487252125,5.511633160153603,70.7493274739717,390,1,97,842
2024-25,Regular Season,Jeremiah Robinson-Earl,NOP,66,1239,418,6.333333333333333,7654,12.072555205047319,5.461196759864123,52.46058705687658,347,164,55,618
2024-25,Regular Season,Chet Holmgren,OKC,32,877,479,14.96875,8865,13.722910216718267,5.403271291596165,109.07853919909758,341,116,134,630
2024-25,Regular Season,Jaden Ivey,DET,30,898,528,17.6,9810,11.833534378769603,5.382262996941896,148.72986748216107,413,154,116,467
2024-25,Regular Season,Nikola Jović,MIA,46,1156,494,10.73913043478261,9262,11.76874205844981,5.33362124811056,91.25130265789153,377,210,87,576
2024-25,Regular Season,Donovan Clingan,POR,67,1324,436,6.507462686567164,8182,12.804381846635367,5.328770471767294,50.822154200885095,334,49,104,916
2024-25,Regular Season,Ronald Holland II,DET,81,1266,522,6.444444444444445,9810,11.833534378769603,5.321100917431193,54.4591686487711,416,151,122,567
2024-25,Regular Season,Jamison Battle,TOR,59,1042,419,7.101694915254237,7902,11.724035608308606,5.302455074664643,60.57380881905031,347,259,18,430
2024-25,Regular Season,Sam Merrill,CLE,71,1401,509,7.169014084507042,9614,13.0625,5.294362388183899,54.88240447469506,424,368,29,553
2024-25,Regular Season,Tidjane Salaün,CHA,60,1244,353,5.883333333333334,6788,11.182866556836903,5.200353565114909,52.61024356707916,345,205,94,434
2024-25,Regular Season,Haywood Highsmith,MIA,74,1818,478,6.45945945945946,9262,11.76874205844981,5.160872381774995,54.8865751953638,391,233,43,669
2024-25,Regular Season,Trayce Jackson-Davis,GSW,62,967,407,6.564516129032258,7888,11.236467236467236,5.15973630831643,58.421530458679584,302,3,102,667
2024-25,Regular Season,Gary Payton II,GSW,62,927,400,6.451612903225806,7888,11.236467236467236,5.070993914807302,57.41673755152784,298,95,38,560
2024-25,Regular Season,Jay Huff,MEM,64,748,439,6.859375,8675,11.566666666666666,5.060518731988473,59.30295389048992,305,200,56,484
2024-25,Regular Season,Jared McCain,PHI,23,592,352,15.304347826086957,7007,12.602517985611511,5.023547880690738,121.43880963756739,274,133,56,291
2024-25,Regular Season,Jarace Walker,IND,75,1187,461,6.1466666666666665,9182,11.971316818774445,5.020692659551296,51.344950265011256,360,185,69,588
2024-25,Regular Season,Moritz Wagner,ORL,30,564,386,12.866666666666667,7689,12.793677204658902,5.020158668227338,100.570511986821,249,75,110,423
2024-25,Regular Season,Kelly Olynyk,NOP,44,891,384,8.727272727272727,7654,12.072555205047319,5.016984583224458,72.29018694918878,268,79,108,535
2024-25,Regular Season,Jake LaRavia,SAC,66,1349,458,6.9393939393939394,9248,14.054711246200608,4.95242214532872,49.37414805494391,337,142,115,660
2024-25,Regular Season,Jonathan Isaac,ORL,71,1090,380,5.352112676056338,7689,12.793677204658902,4.942125113798934,41.834044977368436,324,151,107,618
2024-25,Regular Season,Jonathan Mogbo,TOR,63,1286,389,6.174603174603175,7902,11.724035608308606,4.922804353328272,52.666192605448494,356,70,82,643
2024-25,Regular Season,Jaxson Hayes,LAL,56,1093,383,6.839285714285714,7781,13.461937716262975,4.92224649787945,50.80461563882719,223,3,98,650
2024-25,Regular Season,Kenrich Williams,OKC,69,1132,436,6.318840579710145,8865,13.722910216718267,4.918217710095883,46.04592232930347,354,171,39,594
2024-25,Regular Season,Max Strus,CLE,50,1273,471,9.42,9614,13.0625,4.899105471187851,72.11483253588517,373,293,34,616
2024-25,Regular Season,Trey Lyles,SAC,69,1350,451,6.536231884057971,9248,14.054711246200608,4.876730103806228,46.5056291058623,374,238,80,633
2024-25,Regular Season,Luke Kornet,BOS,73,1361,441,6.041095890410959,9120,13.797276853252647,4.8355263157894735,43.78469718817592,280,3,97,899
2024-25,Regular Season,Adem Bona,PHI,58,905,337,5.810344827586207,7007,12.602517985611511,4.809476238047666,46.104634281974185,192,1,100,553
2024-25,Regular Season,Tristan Vukcevic,WAS,35,513,330,9.428571428571429,7013,11.747068676716918,4.705546841579923,80.26318469780612,242,102,67,354
2024-25,Regular Season,Thomas Bryant,IND,66,963,429,6.5,9182,11.971316818774445,4.672184709213679,54.296449575255934,321,148,64,605
2024-25,Regular Season,Zach Collins,CHI,64,977,407,6.359375,8713,10.143189755529686,4.671180993917135,62.696007402731546,302,106,78,646
2024-25,Regular Season,Vít Krejčí,ATL,57,1153,412,7.228070175438597,8854,12.541076487252125,4.653264061441156,57.63516539258695,292,206,45,567
2024-25,Regular Season,DaQuan Jeffries,CHA,47,1071,315,6.702127659574468,6788,11.182866556836903,4.640542133176194,59.932107975275514,291,164,30,340
2024-25,Regular Season,Simone Fontecchio,DET,75,1237,446,5.946666666666666,9810,11.833534378769603,4.54638124362895,50.252667346245325,373,227,84,478
2024-25,Regular Season,Bruce Brown,NOP,41,922,340,8.292682926829269,7654,12.072555205047319,4.442121766396656,68.69037072915803,309,81,65,402
2024-25,Regular Season,Isaiah Stewart,DET,72,1434,435,6.041666666666667,9810,11.833534378769603,4.434250764525994,51.0554706082229,315,53,87,858
2024-25,Regular Season,Kevon Looney,GSW,76,1142,344,4.526315789473684,7888,11.236467236467236,4.36105476673428,40.28237429272979,278,5,99,790
2024-25,Regular Season,Talen Horton-Tucker,CHI,58,724,379,6.5344827586206895,8713,10.143189755529686,4.349822104900723,64.42236531223656,291,122,98,370
2024-25,Regular Season,Malcolm Brogdon,WAS,24,564,305,12.708333333333334,7013,11.747068676716918,4.349066020248111,108.18301725367176,240,56,92,327
2024-25,Regular Season,Marcus Smart,WAS,34,680,305,8.970588235294118,7013,11.747068676716918,4.349066020248111,76.36448276729772,257,141,71,307
2024-25,Regular Season,Precious Achiuwa,NYK,57,1170,379,6.649122807017544,8766,15.570159857904086,4.32352270134611,42.704268085225614,327,36,69,604
2024-25,Regular Season,Quinten Post,GSW,42,686,340,8.095238095238095,7888,11.236467236467236,4.310344827586207,72.04433497536947,274,179,27,388
2024-25,Regular Season,Alex Caruso,OKC,54,1041,382,7.074074074074074,8865,13.722910216718267,4.309080654258319,51.549372271312485,314,170,51,575
2024-25,Regular Season,Cody Martin,PHX,53,1173,358,6.754716981132075,8392,12.562874251497005,4.265967588179218,53.767289601956946,325,151,61,517
2024-25,Regular Season,Karlo Matković,NOP,42,791,325,7.738095238095238,7654,12.072555205047319,4.24614580611445,64.09658193039431,235,66,44,490
2024-25,Regular Season,Julian Phillips,CHI,79,1123,366,4.632911392405063,8713,10.143189755529686,4.200619763571675,45.675093378583135,287,153,76,430
2024-25,Regular Season,Aaron Holiday,HOU,62,792,340,5.483870967741935,8242,13.99320882852292,4.125212327105072,39.189517107498176,268,181,41,336
2024-25,Regular Season,Sandro Mamukelashvili,SAS,61,681,385,6.311475409836065,9336,13.510853835021708,4.12382176520994,46.714112127214236,281,161,58,478
2024-25,Regular Season,Svi Mykhailiuk,UTA,38,760,334,8.789473684210526,8157,12.988853503184714,4.094642638224837,67.66935728434731,302,203,35,283
2024-25,Regular Season,Caleb Martin,DAL,45,1218,356,7.911111111111111,8738,13.42242703533026,4.074158846417944,58.9394979781796,304,103,98,429
2024-25,Regular Season,Shake Milton,LAL,57,836,315,5.526315789473684,7781,13.461937716262975,4.048322837681532,41.05141403824431,254,106,59,359
2024-25,Regular Season,Garrison Mathews,ATL,47,830,353,7.51063829787234,8854,12.541076487252125,3.986898576914389,59.888306283011886,257,218,78,341
2024-25,Regular Season,Antonio Reeves,NOP,44,660,305,6.931818181818182,7654,12.072555205047319,3.984844525738176,57.41798702995462,248,129,35,260
2024-25,Regular Season,Mason Plumlee,PHX,74,1300,333,4.5,8392,12.562874251497005,3.9680648236415634,35.81982840800762,202,4,128,821
2024-25,Regular Season,Nicolas Batum,LAC,78,1367,313,4.012820512820513,8091,13.242225859247135,3.8684958595970835,30.30321756684382,238,203,21,531
2024-25,Regular Season,Kyle Anderson,MIA,61,1002,357,5.852459016393443,9262,11.76874205844981,3.8544590801122864,49.72884091882573,303,70,65,566
2024-25,Regular Season,Alec Burks,MIA,49,864,356,7.26530612244898,9262,11.76874205844981,3.843662275966314,61.73392267725488,271,207,49,374
2024-25,Regular Season,Orlando Robinson,TOR,44,770,303,6.886363636363637,7902,11.724035608308606,3.834472285497342,58.73714364602747,261,52,70,423
2024-25,Regular Season,Jabari Walker,POR,60,749,313,5.216666666666667,8182,12.804381846635367,3.825470545098998,40.74126130530433,229,72,71,433
2024-25,Regular Season,Marcus Sasser,DET,57,811,375,6.578947368421052,9810,11.833534378769603,3.82262996941896,55.59579376575996,296,152,51,397
2024-25,Regular Season,Tre Jones,CHI,46,905,330,7.173913043478261,8713,10.143189755529686,3.787444049122002,70.72640083034347,238,48,67,528
2024-25,Regular Season,Ryan Rollins,MIL,56,820,349,6.232142857142857,9309,13.750369276218612,3.7490600494145454,45.32345809738655,271,120,45,419
2024-25,Regular Season,Dalen Terry,CHI,73,987,326,4.465753424657534,8713,10.143189755529686,3.7415356364053713,44.02711111879745,268,104,69,385
2024-25,Regular Season,Ben Sheppard,IND,63,1230,332,5.26984126984127,9182,11.971316818774445,3.6157699847527773,44.02056473500603,287,199,27,454
2024-25,Regular Season,Javonte Green,CLE,68,1258,347,5.102941176470588,9614,13.0625,3.609319742042854,39.06557838446383,287,141,76,500
2024-25,Regular Season,Dereck Lively II,DAL,36,833,314,8.722222222222221,8738,13.42242703533026,3.593499656672007,64.9824521248188,191,0,73,620
2024-25,Regular Season,Isaac Okoro,CLE,55,1053,337,6.127272727272727,9614,13.0625,3.5053047638859995,46.907351022183555,267,151,46,404
2024-25,Regular Season,Neemias Queta,BOS,62,863,310,5.0,9120,13.797276853252647,3.399122807017544,36.2390350877193,203,3,61,525
2024-25,Regular Season,Dean Wade,CLE,59,1253,320,5.423728813559322,9614,13.0625,3.328479301019347,41.52136890763117,271,222,30,512
