PLAYER,TEAM,GP,MIN,STL,BLK,STL_per36,BLK_per36,Disruption_Index
Dalano Banton,POR,67,1120,43,34,1.3821428571428571,1.0928571428571427,2.4749999999999996
Isaiah Hartenstein,OKC,57,1590,47,62,1.0641509433962264,1.4037735849056603,2.4679245283018867
Elfrid Payton,NOP,24,511,24,11,1.6908023483365948,0.7749510763209393,2.4657534246575343
Drew Eubanks,LAC,61,746,12,39,0.579088471849866,1.8820375335120643,2.46112600536193
Russell Westbrook,DEN,75,2092,106,37,1.8240917782026769,0.6367112810707457,2.4608030592734225
Quenton Jackson,IND,28,381,21,5,1.984251968503937,0.47244094488188976,2.456692913385827
P.J. Washington,DAL,57,1835,63,60,1.2359673024523161,1.1771117166212532,2.413079019073569
Rudy Gobert,MIN,72,2388,56,104,0.8442211055276382,1.5678391959798994,2.4120603015075375
Nikola Jokić,DEN,70,2571,127,45,1.7782963827304552,0.6301050175029171,2.4084014002333722
Kyle Lowry,PHI,35,659,33,11,1.802731411229135,0.6009104704097117,2.4036418816388467
Dominick Barlow,ATL,35,375,9,16,0.864,1.536,2.4
Jarace Walker,IND,75,1187,54,25,1.637742207245156,0.7582139848357203,2.3959561920808765
Onyeka Okongwu,ATL,74,2064,69,68,1.2034883720930232,1.186046511627907,2.3895348837209305
Tristan Vukcevic,WAS,35,513,11,23,0.7719298245614035,1.6140350877192982,2.3859649122807016
Taj Gibson,CHA,37,409,9,18,0.7921760391198044,1.5843520782396088,2.3765281173594133
Kyshawn George,WAS,68,1802,68,50,1.3584905660377358,0.9988901220865705,2.357380688124306
Jarrett Allen,CLE,82,2296,77,73,1.207317073170732,1.1445993031358885,2.3519163763066206
Toumani Camara,POR,78,2548,116,50,1.6389324960753533,0.706436420722135,2.3453689167974883
Jaylin Williams,OKC,47,784,22,29,1.010204081632653,1.3316326530612246,2.3418367346938775
John Collins,UTA,40,1221,39,40,1.1498771498771498,1.1793611793611793,2.329238329238329
OG Anunoby,NYK,74,2706,110,65,1.4634146341463414,0.8647450110864745,2.328159645232816
Jose Alvarado,NOP,56,1366,74,14,1.950219619326501,0.3689604685212299,2.3191800878477307
Kawhi Leonard,LAC,37,1180,59,17,1.8,0.5186440677966102,2.31864406779661
Nicolas Batum,LAC,78,1367,52,36,1.369422092172641,0.9480614484272128,2.317483540599854
Kessler Edwards,DAL,40,608,19,20,1.125,1.1842105263157894,2.3092105263157894
Moritz Wagner,ORL,30,564,24,12,1.5319148936170213,0.7659574468085106,2.297872340425532
Jamal Cain,NOP,37,502,23,9,1.649402390438247,0.6454183266932272,2.2948207171314743
Torrey Craig,BOS,26,314,8,12,0.9171974522292994,1.375796178343949,2.2929936305732483
Kevin Porter Jr.,MIL,75,1482,81,13,1.9676113360323888,0.3157894736842105,2.2834008097165994
Jalen Smith,CHI,64,962,17,44,0.6361746361746362,1.6465696465696467,2.2827442827442828
Devin Carter,SAC,36,396,21,4,1.9090909090909092,0.36363636363636365,2.272727272727273
Trayce Jackson-Davis,GSW,62,967,23,38,0.8562564632885212,1.4146845915201653,2.2709410548086866
Jake LaRavia,SAC,66,1349,62,23,1.6545589325426242,0.6137879911045219,2.268346923647146
Steven Adams,HOU,58,794,22,28,0.9974811083123426,1.269521410579345,2.2670025188916876
Blake Wesley,SAS,58,683,37,6,1.950219619326501,0.3162518301610542,2.266471449487555
