PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,Usage_pg,Usage_per36,Usage_SharePct
Scoot Henderson,POR,66,1759,837,685,206,11.752121212121212,15.874383172256964,9.647887674327196
Malcolm Brogdon,WAS,24,564,305,240,92,11.686666666666667,17.902978723404257,3.969453549128498
Amen Thompson,HOU,69,2225,970,697,247,11.676521739130436,13.035721348314608,9.481488455292208
Christian Braun,DEN,79,2675,1218,821,214,11.584303797468355,12.31617196261682,11.428471524978395
Naji Marshall,DAL,69,1919,914,712,160,11.339130434782609,14.67764460656592,9.282724451151799
Aaron Gordon,DEN,51,1447,748,497,179,11.289411764705882,14.324367657221838,7.190061590565104
Payton Pritchard,BOS,80,2271,1144,866,84,11.287,14.313764861294585,11.390310112722393
Jakob Poeltl,TOR,57,1686,824,579,144,11.269473684210526,13.715871886120997,8.604818140900615
Zaccharie Risacher,ATL,75,1843,942,779,149,11.2608,16.497102550189908,10.219154744158132
Lonnie Walker IV,PHI,20,477,247,212,30,11.26,16.996226415094338,3.046306015778025
Keegan Murray,SAC,76,2610,942,820,72,11.206315789473683,11.747310344827586,10.511660972768025
Josh Hart,NYK,77,2897,1051,770,205,11.171428571428573,10.689402830514325,11.034089976192432
Keldon Johnson,SAS,77,1838,979,770,194,11.108571428571429,16.753514689880305,9.647555627740784
Jabari Smith Jr.,HOU,57,1716,698,566,126,10.902456140350878,13.037202797202799,7.313295831666157
Jaden McDaniels,MIN,82,2614,1000,834,128,10.857560975609756,12.261484315225708,11.5680659428613
Jordan Hawkins,NOP,56,1320,604,556,98,10.698571428571428,16.339636363636362,7.844266845429503
Terry Rozier,MIA,64,1658,679,635,108,10.664375,14.819493365500604,8.212999865226516
Keon Johnson,BKN,79,1925,839,779,139,10.634936708860758,15.712083116883116,12.101518163224151
Tari Eason,HOU,57,1420,686,559,104,10.609824561403508,15.331943661971831,7.117000494268836
Santi Aldama,MEM,65,1660,811,648,94,10.605538461538462,14.949975903614458,8.757603321323854
Rui Hachimura,LAL,59,1869,775,576,113,10.60542372881356,12.05239165329053,8.70288464213191
Onyeka Okongwu,ATL,74,2064,988,684,216,10.527567567567568,13.587906976744184,9.426364393162062
Ayo Dosunmu,CHI,46,1394,566,449,79,10.516521739130434,12.493084648493545,6.100593715793244
Brandin Podziemski,GSW,64,1716,747,629,95,10.48125,14.07272727272727,9.607397180226062
Brook Lopez,MIL,80,2546,1041,774,138,10.434000000000001,11.8027965435978,9.991525302000891
Caris LeVert,ATL,64,1596,776,599,155,10.425,15.049624060150379,8.073103207945328
Khris Middleton,WAS,37,843,440,337,84,10.107027027027026,15.969822064056938,5.292416034056235
Aaron Wiggins,OKC,76,1744,914,728,89,10.09421052631579,15.835871559633027,9.473169478800331
Donte DiVincenzo,MIN,62,1606,723,593,63,10.011612903225807,13.914022415940224,8.065111299367494
Spencer Dinwiddie,DAL,79,2136,872,682,243,9.98632911392405,13.296404494382022,9.36008048824473
Brandon Boston,NOP,42,993,448,381,85,9.961904761904762,15.168580060422961,5.478103298383803
Buddy Hield,GSW,82,1863,912,786,64,9.928780487804877,15.732560386473429,11.66064175350753
Moritz Wagner,ORL,30,564,386,249,110,9.913333333333332,18.982978723404255,3.8176170059818744
Corey Kispert,WAS,61,1602,705,565,88,9.897049180327869,13.56674157303371,8.544061953365148
Toumani Camara,POR,78,2548,882,716,126,9.890256410256411,10.899466248037676,9.595645489509273
Jose Alvarado,NOP,56,1366,579,521,74,9.885,14.588696925329428,7.247750625844497
Nick Smith Jr.,CHA,60,1369,591,568,46,9.804,15.468692476260046,8.413187869357024
Jrue Holiday,BOS,62,1896,686,573,77,9.788387096774194,11.523037974683543,7.655434793577751
Ty Jerome,CLE,70,1392,878,618,148,9.758857142857144,17.666896551724136,8.291418251024412
Jeremy Sochan,SAS,54,1364,617,469,125,9.703703703703704,13.82991202346041,5.91016548463357
Kevin Porter Jr.,MIL,75,1482,771,652,169,9.684800000000001,17.644372469635627,8.694465591289733
Tim Hardaway Jr.,DET,77,2153,844,680,145,9.659740259740259,12.43697166744078,8.35640200607575
Bogdan Bogdanović,LAC,54,1348,583,492,66,9.648888888888889,13.915014836795251,6.9751377517416415
Bub Carrington,WAS,82,2458,807,748,85,9.578048780487805,11.50301057770545,11.11526246964319
Herbert Jones,NOP,20,648,205,172,40,9.48,10.533333333333333,2.482429219344094
Gary Trent Jr.,MIL,74,1893,824,657,92,9.425405405405405,13.264278922345483,8.348774520365607
Harrison Barnes,SAS,82,2230,1011,683,199,9.397073170731707,12.439533632286995,8.691101366105427
Isaiah Hartenstein,OKC,57,1590,637,480,117,9.32421052631579,12.033509433962264,6.562907495949738
Jaylen Wells,MEM,79,2044,823,676,135,9.30886075949367,12.95225048923679,9.342493736946679
Jarrett Allen,CLE,82,2296,1103,640,277,9.291219512195122,11.945853658536587,9.247373429398172
Duncan Robinson,MIA,74,1786,817,663,53,9.274594594594594,13.833997760358343,8.258726583107107
Andrew Nembhard,IND,65,1881,653,539,136,9.212923076923078,11.461052631578948,7.546095144006372
Aaron Nesmith,IND,45,1122,541,379,80,9.204444444444444,13.289839572192513,5.2194118773753235
Trendon Watford,BKN,44,913,450,350,122,9.174545454545454,15.917283680175247,5.81453634085213
Ziaire Williams,BKN,63,1541,632,520,123,9.113015873015874,13.412277741726154,8.269524385676835
Nic Claxton,BKN,70,1882,724,568,154,9.082285714285714,12.161190223166843,9.157376199118485
Kevin Huerter,CHI,69,1679,681,604,49,9.066086956521739,13.412840976771886,7.88880313554577
Anthony Black,ORL,78,1887,736,620,197,9.06,13.481971383147854,9.071397396729225
Justin Edwards,PHI,44,1155,445,378,46,9.05090909090909,12.412675324675325,5.387037778523272
Nikola Jović,MIA,46,1156,494,377,87,9.027826086956521,12.932595155709341,4.997208263539921
Tosan Evbuomwan,BKN,28,665,267,220,73,9.004285714285714,13.6486015037594,3.631492524414484
Miles McBride,NYK,64,1593,611,547,64,8.986875,12.997966101694914,7.3777809703636805
KJ Simpson,CHA,36,842,282,301,50,8.972222222222221,13.809976247030878,4.619644501907928
Guerschon Yabusele,PHI,70,1895,768,563,138,8.910285714285715,11.849034300791557,8.4371313861504
Brice Sensabaugh,UTA,71,1432,772,599,73,8.889014084507043,15.866145251396649,8.044336130683497
Ausar Thompson,DET,59,1328,594,460,142,8.855593220338983,14.163614457831326,5.869928636911075
Noah Clowney,BKN,46,1042,420,372,80,8.852173913043478,14.068330134357005,5.865237807161582
Cole Anthony,MEM,67,1234,630,543,113,8.846567164179104,17.29166936790924,7.529892422848839
Isaiah Collier,UTA,71,1839,615,555,154,8.771267605633803,12.1910603588907,7.937778502890821
Patrick Williams,CHI,63,1576,566,516,83,8.77015873015873,12.621015228426394,6.967711344158432
Jalen Wilson,BKN,79,2031,749,620,165,8.767088607594937,12.276514032496307,9.976089649410884
Rudy Gobert,MIN,72,2388,866,510,273,8.751666666666667,9.49929648241206,8.187246958302365
Tyus Jones,PHX,81,2174,829,683,57,8.74172839506173,11.72533578656854,8.746393138068699
Ochai Agbaji,TOR,64,1739,667,534,48,8.67375,11.491845888441635,7.436183209379085
Luguentz Dort,OKC,71,2073,719,593,46,8.63718309859155,10.649609261939219,7.572509582328999
Jonas Valančiūnas,SAC,81,1524,843,627,165,8.637037037037038,16.525984251968506,8.634649183435693
Kyshawn George,WAS,68,1802,590,546,93,8.631176470588235,11.725371809100999,8.306302328346042
Julian Champagnie,SAS,82,1932,815,665,94,8.614146341463416,13.161987577639751,7.9669933048201695
Daniel Gafford,DAL,57,1226,701,403,196,8.583157894736843,14.365938009787929,5.804550243457958
Cam Whitmore,HOU,51,827,477,403,72,8.523137254901961,18.9219830713422,5.11544707792972
Marcus Smart,WAS,34,680,305,257,71,8.47764705882353,15.259764705882354,4.079275852113513
Scotty Pippen Jr.,MEM,79,1683,779,594,171,8.471392405063291,14.315294117647058,8.501999603636383
Moses Moody,GSW,74,1649,724,568,133,8.466486486486486,13.677816858702244,8.973205845788957
Draymond Green,GSW,68,1983,613,509,147,8.436470588235295,10.414765506807868,8.216415644532034
Grayson Allen,PHX,64,1544,680,489,114,8.424375,12.571088082901554,6.65984821534448
Max Christie,DAL,78,2127,749,590,152,8.42153846153846,11.117856135401974,7.793502092884194
Dalano Banton,POR,67,1120,559,507,125,8.388059701492537,18.064285714285713,6.990501873255485
Walker Kessler,UTA,58,1740,641,419,152,8.377241379310345,10.052689655172413,6.193088539701638
A.J. Lawson,TOR,26,486,236,190,63,8.373846153846154,16.127407407407407,2.916496988661937
Jalen Duren,DET,78,2034,918,546,242,8.365128205128205,11.548318584070795,7.330445255343244
Wendell Carter Jr.,ORL,68,1758,618,491,175,8.352941176470589,11.631399317406142,7.291212035634516
Svi Mykhailiuk,UTA,38,760,334,302,35,8.352631578947367,15.034736842105263,4.045620940358319
T.J. McConnell,IND,79,1415,720,624,77,8.327594936708861,16.737583038869257,8.290069256126698
Derrick Jones Jr.,LAC,77,1873,781,589,118,8.323636363636362,12.318804057661504,8.579965622305876
Isaiah Joe,OKC,74,1604,756,588,56,8.278918918918919,13.750024937655859,7.5651005650610506
Ja'Kobe Walter,TOR,52,1103,449,393,83,8.26,14.018785131459655,5.753691836166063
Bruce Brown,NOP,41,922,340,309,65,8.234146341463415,13.18177874186551,4.420190424317333
Jared Butler,PHI,60,1044,541,453,91,8.217333333333334,17.001379310344827,6.669408161719351
Obi Toppin,IND,79,1545,833,599,114,8.217215189873418,15.126058252427185,8.180186900813533
Tyrese Martin,BKN,60,1315,523,465,58,8.175333333333333,13.428684410646387,7.065364560827356
Georges Niang,ATL,79,1697,784,620,58,8.17113924050633,13.694001178550383,7.810775753586433
Chris Boucher,TOR,50,862,502,370,87,8.1656,17.051136890951273,5.4691686134985105
Nickeil Alexander-Walker,MIN,82,2073,773,616,118,8.145365853658536,11.599189580318377,8.678388225083026
Julian Strawther,DEN,65,1384,588,486,90,8.086153846153847,13.671676300578035,6.563666062249929
Kyle Filipowski,UTA,72,1522,690,518,143,8.068333333333333,13.740551905387647,7.404480518818382
Jusuf Nurkić,CHA,51,1063,453,352,128,8.006274509803921,13.828334901222954,5.839917161049675
Yves Missi,NOP,73,1956,665,492,204,7.969315068493151,10.707239263803682,7.616972693278588
Al Horford,BOS,60,1659,538,461,38,7.962000000000001,10.366437613019892,6.026157246223245
Jaime Jaquez Jr.,MIA,66,1368,570,462,142,7.946666666666667,13.802105263157896,6.311249735266371
Jaden Hardy,DAL,57,907,496,414,86,7.92701754385965,17.93411245865491,5.360820828231632
AJ Johnson,WAS,29,638,220,213,37,7.9062068965517245,12.93742946708464,3.2448527871655095
Amir Coffey,LAC,72,1748,696,510,129,7.871666666666666,11.672402745995422,7.58718922189677
Clint Capela,ATL,55,1176,488,390,97,7.866909090909091,13.24530612244898,5.235417110332411
Johnny Juzang,UTA,64,1270,571,475,53,7.78625,14.125606299212597,6.351650368618013
Max Strus,CLE,50,1273,471,373,34,7.7592,10.971374705420267,4.708892470821277
Tristan Vukcevic,WAS,35,513,330,242,67,7.756571428571429,19.05122807017544,3.8420823214396917
Royce O'Neale,PHX,75,1837,680,570,26,7.752533333333334,11.394578116494284,7.182102059369937
Caleb Martin,DAL,45,1218,356,304,98,7.713777777777778,10.259704433497536,4.118378465597919
Kel'el Ware,MIA,64,1422,595,464,67,7.710625,12.493164556962027,5.938215984135236
Dalton Knecht,LAL,78,1494,706,557,84,7.614871794871795,14.312289156626507,8.261147737071964
Kentavious Caldwell-Pope,MEM,77,2279,673,544,95,7.607792207792207,9.253532250987275,7.44198100503585
Chris Paul,SAS,82,2292,723,583,92,7.6034146341463416,9.792879581151832,7.032194611372783
Matas Buzelis,CHI,80,1511,688,555,108,7.531499999999999,14.355208471211117,7.598250631800367
GG Jackson,MEM,29,459,209,199,40,7.468965517241379,16.988235294117647,2.751678193394956
Cason Wallace,OKC,68,1876,568,489,37,7.430588235294117,9.696204690831555,6.239380408582605
Zach Edey,MEM,66,1416,610,433,127,7.407272727272727,12.429152542372881,6.210712997169558
Danté Exum,DAL,20,372,174,134,31,7.382,14.28774193548387,1.7516633920859552
Nick Richards,PHX,57,1256,529,347,160,7.322807017543859,11.963694267515924,5.155836199059251
Lonzo Ball,CHI,35,777,267,243,27,7.282285714285714,11.809111969111969,3.2142370726835248
Ricky Council IV,PHI,73,1250,532,463,153,7.2646575342465765,15.273216000000001,7.173698962199834
Dorian Finney-Smith,LAL,63,1819,549,435,45,7.219047619047619,9.000989554700386,6.325627972961696
Peyton Watson,DEN,68,1656,551,428,137,7.180588235294117,10.61478260869565,6.097615800752274
Kelly Olynyk,NOP,44,891,384,268,108,7.170909090909091,12.748282828282827,4.131097401305108
Mike Conley,MIN,71,1756,582,468,90,7.149295774647888,10.406378132118451,6.595325582483149
Justin Champagnie,WAS,62,1341,544,411,73,7.147096774193549,11.895838926174497,6.271193157051553
Jamal Shead,TOR,75,1467,533,504,69,7.1248000000000005,13.113128834355829,7.158089890048654
Vasilije Micic,PHX,41,785,269,273,41,7.098536585365854,13.347057324840765,3.5950037550891345
Luke Kennard,MEM,65,1472,576,431,57,7.016615384615385,11.154130434782607,5.794023039905686
Day'Ron Sharpe,BKN,50,907,397,317,74,6.9912,13.874487320837927,5.0350012963443085
Jalen Smith,CHI,64,962,524,408,89,6.986875,16.733638253638254,5.6390389572393484
Davion Mitchell,MIA,74,2027,588,476,84,6.931891891891892,9.110291070547607,6.172625580007317
Tristan da Silva,ORL,74,1629,533,483,63,6.901621621621622,11.286629834254144,6.555929244435317
Andre Drummond,PHI,40,751,293,234,90,6.840000000000001,13.115312916111852,3.7010183211228584
Quinten Post,GSW,42,686,340,274,27,6.806666666666667,15.002448979591836,4.094458416641364
Sam Hauser,BOS,71,1541,605,474,11,6.744225352112676,11.186398442569761,6.040285388473454
Larry Nance Jr.,ATL,24,463,203,155,13,6.696666666666666,12.49658747300216,1.9447079550074537
Taurean Prince,MIL,80,2166,656,514,48,6.689,8.893961218836566,6.4053395385359355
Ryan Dunn,PHX,74,1410,511,477,39,6.6778378378378385,12.616851063829788,6.103996205383612
Josh Green,CHA,68,1888,506,421,72,6.657058823529412,8.631610169491525,6.474367409051643
Cody Martin,PHX,53,1173,358,325,61,6.638490566037736,10.798158567774935,4.346021581880706
Orlando Robinson,TOR,44,770,303,261,70,6.631818181818182,13.642597402597405,3.9088454036907647
Terance Mann,ATL,67,1414,517,413,68,6.610746268656716,11.276605374823196,5.359320852612627
Brandon Williams,DAL,33,487,275,188,66,6.576969696969697,16.044024640657085,2.575054339056731
Vince Williams Jr.,MEM,27,499,179,167,24,6.576296296296296,12.80993987975952,2.2557155125540556
Brandon Clarke,MEM,64,1207,534,380,87,6.535625,12.475625517812759,5.313813272083298
Cameron Payne,NYK,72,1090,500,446,54,6.524444444444445,15.515009174311926,6.02577785075117
DaQuan Jeffries,CHA,47,1071,315,291,30,6.472340425531915,10.225210084033613,4.350761168669943
Tidjane Salaün,CHA,60,1244,353,345,94,6.439333333333334,11.180836012861738,5.5258385441397735
Keon Ellis,SAC,80,1948,666,464,86,6.273000000000001,9.274250513347024,6.193842690416478
Precious Achiuwa,NYK,57,1170,379,327,69,6.269473684210527,10.995692307692307,4.583983252606518
Josh Okogie,CHA,40,625,283,212,85,6.235,14.36544,3.566994856891137
Alex Caruso,OKC,54,1041,382,314,51,6.230370370370371,11.634812680115273,4.154482949381594
Jonathan Mogbo,TOR,63,1286,389,356,82,6.223492063492063,10.97580093312597,5.252159375870716
Garrison Mathews,ATL,47,830,353,257,78,6.198297872340425,12.635566265060241,3.524964668073491
Dereck Lively II,DAL,36,833,314,191,73,6.197777777777778,9.642641056422569,2.6471900300881765
Sam Merrill,CLE,71,1401,509,424,29,6.151549295774648,11.222955032119913,5.301205989163575
Jeff Dowtin Jr.,PHI,41,621,285,230,45,6.092682926829268,14.481159420289854,3.3790730139491596
Karlo Matković,NOP,42,791,325,235,44,6.056190476190476,11.576434892541089,3.330330676331033
Kris Dunn,LAC,74,1783,474,437,22,6.036216216216216,9.01877734155917,5.979683960824422
Jamison Battle,TOR,59,1042,419,347,18,6.0155932203389835,12.2621113243762,4.754377692522023
Antonio Reeves,NOP,44,660,305,248,35,5.986363636363635,14.367272727272725,3.4486912256077766
AJ Green,MIL,73,1659,541,424,27,5.970958904109589,9.458517179023508,5.217445429169239
Alec Burks,MIA,49,864,356,271,49,5.970612244897959,12.190000000000001,3.520475942933056
Gabe Vincent,LAL,72,1527,460,420,21,5.961666666666667,10.119607072691553,5.970124342818994
Trey Lyles,SAC,69,1350,451,374,80,5.930434782608695,10.911999999999999,5.0504551827642725
Jake LaRavia,SAC,66,1349,458,337,115,5.872727272727273,10.343661971830986,4.783862240565572
Tre Jones,CHI,46,905,330,238,67,5.814782608695652,10.640088397790056,3.3731329731692927
Ronald Holland II,DET,81,1266,522,416,122,5.798518518518518,13.355829383886256,5.2767341949632405
