PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,TOV,Usage_pg,TOV_per36,LowTO_HighUsage_Index
Anthony Davis,DAL,51,1705,1261,910,369,113,21.02666666666667,2.385923753665689,8.81279908226811
Franz Wagner,ORL,60,2023,1449,1161,311,138,21.630666666666666,2.455758774097874,8.808139828234031
Brook Lopez,MIL,80,2546,1041,774,138,84,10.434000000000001,1.1877454831107621,8.784710317460318
Donovan Mitchell,CLE,71,2232,1701,1320,362,149,20.834929577464788,2.403225806451613,8.669568012099441
Payton Pritchard,BOS,80,2271,1144,866,84,83,11.287,1.3157199471598415,8.578573293172692
Tyrese Haliburton,IND,73,2450,1359,1006,222,120,15.118904109589042,1.7632653061224488,8.57437848807712
Dalton Knecht,LAL,78,1494,706,557,84,37,7.614871794871795,0.891566265060241,8.541004851004852
Jabari Smith Jr.,HOU,57,1716,698,566,126,61,10.902456140350878,1.2797202797202796,8.519405617869813
Amir Coffey,LAC,72,1748,696,510,129,45,7.871666666666666,0.9267734553775744,8.493625514403291
Jalen Brunson,NYK,65,2301,1690,1200,448,164,21.494153846153843,2.5658409387222947,8.377040650406503
Kawhi Leonard,LAC,37,1180,796,623,121,72,18.276756756756757,2.1966101694915254,8.320437103770438
Jaden McDaniels,MIN,82,2614,1000,834,128,95,10.857560975609756,1.3083397092578424,8.298732277849094
Andrew Wiggins,MIA,60,1842,1078,839,257,99,15.868,1.93485342019544,8.201138047138047
De'Andre Hunter,CLE,64,1740,1088,762,254,82,13.6525,1.696551724137931,8.047205284552845
Nikola Vučević,CHI,73,2278,1349,1038,149,119,15.117260273972603,1.880597014925373,8.038543161556861
Jayson Tatum,BOS,72,2624,1932,1465,440,209,23.03611111111111,2.8673780487804876,8.033859058420463
Al Horford,BOS,60,1659,538,461,38,46,7.962000000000001,0.9981916817359855,7.9764239130434795
Klay Thompson,DAL,72,1965,1005,877,74,88,12.632777777777777,1.6122137404580152,7.835671822390572
Jalen Williams,OKC,69,2237,1490,1168,299,150,18.834202898550725,2.413947250782298,7.802242941492216
Miles Bridges,CHA,64,2029,1300,1089,254,136,18.761875,2.4130113356333167,7.775295011233661
Kentavious Caldwell-Pope,MEM,77,2279,673,544,95,62,7.607792207792207,0.9793769197016235,7.7679921333147135
Ochai Agbaji,TOR,64,1739,667,534,48,54,8.67375,1.1178838412880965,7.759079861111112
Bobby Portis,MIL,49,1244,680,595,73,57,12.798367346938775,1.6495176848874598,7.758854278553526
Aaron Nesmith,IND,45,1122,541,379,80,37,9.204444444444444,1.1871657754010694,7.753293293293294
Anfernee Simons,POR,70,2292,1348,1125,194,143,17.290857142857142,2.2460732984293195,7.698260406260405
Devin Booker,PHX,75,2795,1923,1420,483,220,21.766933333333334,2.8336314847942754,7.681638720538721
Jaylen Wells,MEM,79,2044,823,676,135,69,9.30886075949367,1.2152641878669275,7.659948225605904
Johnny Juzang,UTA,64,1270,571,475,53,36,7.78625,1.0204724409448818,7.6300443672839515
Dean Wade,CLE,59,1253,320,271,30,22,4.816949152542373,0.6320830007980845,7.620754151686356
Dominick Barlow,ATL,35,375,148,113,33,5,3.6434285714285712,0.48000000000000004,7.590476190476189
Paolo Banchero,ORL,46,1582,1191,911,385,136,23.48695652173913,3.0948166877370418,7.589126882637113
Tyler Herro,MIA,77,2725,1840,1378,327,198,19.764675324675327,2.6157798165137613,7.555939991546054
A.J. Lawson,TOR,26,486,236,190,63,15,8.373846153846154,1.1111111111111112,7.5364615384615385
De'Aaron Fox,SAS,62,2241,1459,1163,318,174,21.01483870967742,2.795180722891566,7.518239710789768
Jaren Jackson Jr.,MEM,74,2207,1641,1213,398,153,18.758378378378378,2.4956955142727684,7.51629286148894
Giannis Antetokounmpo,MIL,67,2289,2036,1319,707,206,24.32955223880597,3.239842726081258,7.50948558179974
Ivica Zubac,LAC,80,2624,1340,942,236,127,13.072999999999999,1.7423780487804879,7.502964129483813
Cameron Johnson,BKN,57,1800,1070,747,225,99,14.842105263157896,1.98,7.496012759170655
Bam Adebayo,MIA,78,2674,1410,1113,328,161,16.11948717948718,2.167539267015707,7.436768239811718
Anthony Edwards,MIN,79,2871,2177,1612,496,249,23.16759493670886,3.1222570532915364,7.420143358243098
Jaylen Brown,BOS,63,2158,1398,1118,322,162,19.994920634920636,2.7025023169601488,7.398669192414047
Derrick White,BOS,76,2574,1248,959,161,131,13.550526315789472,1.8321678321678323,7.39589795098433
Ben Sheppard,IND,63,1230,332,287,27,22,4.744126984126984,0.6439024390243903,7.367772967772967
Keldon Johnson,SAS,77,1838,979,770,194,77,11.108571428571429,1.5081610446137104,7.365640074211504
Cam Thomas,BKN,25,781,599,454,151,62,20.817600000000002,2.8578745198463507,7.284294623655915
Damian Lillard,MIL,58,2093,1447,992,393,162,20.0848275862069,2.786430960344004,7.208083699919587
Moses Moody,GSW,74,1649,724,568,133,54,8.466486486486486,1.1788963007883566,7.181705872539205
Jalen Green,HOU,82,2697,1723,1437,336,203,19.327317073170732,2.709677419354839,7.1327003484320555
Aaron Wiggins,OKC,76,1744,914,728,89,69,10.09421052631579,1.4243119266055047,7.087078565980168
Karl-Anthony Towns,NYK,72,2517,1759,1215,409,192,19.374444444444446,2.746126340882002,7.055190489969138
Gradey Dick,TOR,54,1587,777,647,155,83,13.244444444444445,1.882797731568998,7.034448906738064
Shaedon Sharpe,POR,72,2252,1335,1104,242,150,16.81222222222222,2.3978685612788633,7.011319341563786
Jeff Dowtin Jr.,PHI,41,621,285,230,45,15,6.092682926829268,0.8695652173913043,7.006585365853659
Naz Reid,MIN,80,2200,1138,923,143,108,12.324,1.767272727272727,6.973456790123457
Nikola Jokić,DEN,70,2571,2071,1364,451,230,22.32057142857143,3.220536756126021,6.930699171842651
Santi Aldama,MEM,65,1660,811,648,94,71,10.605538461538462,1.5397590361445783,6.887791019622005
Corey Kispert,WAS,61,1602,705,565,88,64,9.897049180327869,1.4382022471910112,6.881542008196722
AJ Green,MIL,73,1659,541,424,27,40,5.970958904109589,0.867992766726944,6.879042237442922
Kevin Durant,PHX,62,2265,1647,1124,361,190,20.690967741935484,3.019867549668874,6.851614318053198
Sam Merrill,CLE,71,1401,509,424,29,35,6.151549295774648,0.899357601713062,6.839936955063716
Bradley Beal,PHX,53,1702,902,694,137,99,14.231698113207546,2.0940070505287895,6.796394553501472
Jordan Hawkins,NOP,56,1320,604,556,98,58,10.698571428571428,1.5818181818181818,6.763464696223317
Chris Boucher,TOR,50,862,502,370,87,29,8.1656,1.211136890951276,6.742095019157087
Onyeka Okongwu,ATL,74,2064,988,684,216,90,10.527567567567568,1.5697674418604652,6.70645045045045
Jrue Holiday,BOS,62,1896,686,573,77,77,9.788387096774194,1.462025316455696,6.695087278313086
Brandin Podziemski,GSW,64,1716,747,629,95,75,10.48125,1.5734265734265733,6.661416666666667
Isaac Okoro,CLE,55,1053,337,267,46,23,5.222545454545455,0.7863247863247863,6.641715415019763
Immanuel Quickley,TOR,33,918,564,438,128,58,14.979393939393939,2.2745098039215685,6.5857680250783694
Luka Dončić,LAL,50,1769,1408,1025,395,179,23.976,3.642736009044658,6.581865921787709
Brandon Miller,CHA,27,924,568,491,79,76,19.47259259259259,2.961038961038961,6.576270305393112
Austin Reaves,LAL,73,2550,1475,1037,366,177,16.411506849315067,2.498823529411765,6.567693418982018
Cason Wallace,OKC,68,1876,568,489,37,59,7.430588235294117,1.1321961620469083,6.56298659576825
Derrick Jones Jr.,LAC,77,1873,781,589,118,66,8.323636363636362,1.2685531233315537,6.5615197428833785
Ryan Dunn,PHX,74,1410,511,477,39,40,6.6778378378378385,1.0212765957446808,6.538716216216217
Coby White,CHI,74,2450,1509,1121,307,177,16.974054054054054,2.6008163265306123,6.526433212873891
Rudy Gobert,MIN,72,2388,866,510,273,89,8.751666666666667,1.3417085427135678,6.522777777777779
Dorian Finney-Smith,LAL,63,1819,549,435,45,56,7.219047619047619,1.108301264431006,6.513614890400605
Jamison Battle,TOR,59,1042,419,347,18,27,6.0155932203389835,0.9328214971209213,6.448814954314013
Tari Eason,HOU,57,1420,686,559,104,65,10.609824561403508,1.647887323943662,6.438440545808967
Toumani Camara,POR,78,2548,882,716,126,109,9.890256410256411,1.5400313971742543,6.422113489636426
Jonathan Kuminga,GSW,47,1144,719,568,235,71,14.285106382978723,2.234265734265734,6.393646988312856
Zach LaVine,SAC,74,2603,1724,1223,285,208,18.221621621621622,2.8766807529773337,6.334252281127282
Kevin Huerter,CHI,69,1679,681,604,49,67,9.066086956521739,1.4365693865396068,6.310928689883914
Terry Rozier,MIA,64,1658,679,635,108,78,10.664375,1.6936067551266585,6.296842503561254
