PLAYER,TEAM,GP,MIN,PTS,REB_pg,AST_pg,STL_pg,BLK_pg,StatStuffer_pg,REB_per36,AST_per36,STL_per36,BLK_per36,StatStuffer_per36
Nikola Vučević,CHI,73,2278,1349,10.068493150684931,3.506849315068493,0.8356164383561644,0.7123287671232876,15.123287671232875,11.61545215100966,4.045654082528534,0.9640035118525022,0.8217734855136084,17.446883230904305
Cade Cunningham,DET,70,2452,1830,6.071428571428571,9.114285714285714,1.0142857142857142,0.7571428571428571,16.957142857142856,6.239804241435563,9.36704730831974,1.0424143556280587,0.7781402936378466,17.42740619902121
Daniel Gafford,DAL,57,1226,701,6.807017543859649,1.4035087719298245,0.40350877192982454,1.7894736842105263,10.403508771929824,11.393148450244698,2.3491027732463294,0.6753670473083198,2.99510603588907,17.412724306688418
Jarrett Allen,CLE,82,2296,1103,9.731707317073171,1.9268292682926829,0.9390243902439024,0.8902439024390244,13.487804878048783,12.512195121951219,2.477351916376307,1.207317073170732,1.1445993031358885,17.341463414634145
Chet Holmgren,OKC,32,877,479,8.03125,1.96875,0.71875,2.21875,12.9375,10.549600912200685,2.586088939566705,0.9441277080957811,2.9144811858608897,16.99429874572406
James Harden,LAC,79,2789,1802,5.772151898734177,8.69620253164557,1.4936708860759493,0.6962025316455697,16.658227848101266,5.885980638221585,8.867694514162782,1.5231265686626032,0.7099318752240946,16.986733596271065
Richaun Holmes,WAS,31,534,230,5.709677419354839,1.3548387096774193,0.2903225806451613,0.7419354838709677,8.096774193548386,11.93258426966292,2.831460674157303,0.6067415730337078,1.550561797752809,16.92134831460674
Zach Collins,CHI,64,977,407,4.5,1.734375,0.453125,0.453125,7.140625,10.61207778915046,4.09007164790174,1.0685772773797337,1.0685772773797337,16.83930399181167
Onyeka Okongwu,ATL,74,2064,988,8.91891891891892,2.27027027027027,0.9324324324324325,0.918918918918919,13.04054054054054,11.511627906976745,2.930232558139535,1.2034883720930232,1.186046511627907,16.83139534883721
Moussa Diabaté,CHA,71,1241,403,6.169014084507042,0.7887323943661971,0.647887323943662,0.5633802816901409,8.169014084507042,12.705882352941178,1.6244963738920226,1.3344077356970185,1.160354552780016,16.825141015310233
Nick Richards,PHX,57,1256,529,8.175438596491228,0.8596491228070176,0.24561403508771928,0.9649122807017544,10.24561403508772,13.35668789808917,1.4044585987261147,0.40127388535031844,1.5764331210191083,16.73885350318471
Russell Westbrook,DEN,75,2092,994,4.933333333333334,6.093333333333334,1.4133333333333333,0.49333333333333335,12.933333333333335,6.367112810707457,7.864244741873805,1.8240917782026769,0.6367112810707457,16.692160611854685
Bobby Portis,MIL,49,1244,680,8.387755102040817,2.122448979591837,0.7142857142857143,0.5306122448979592,11.755102040816327,11.893890675241156,3.009646302250804,1.0128617363344052,0.752411575562701,16.668810289389068
