PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Ben Simmons,LAC,51,1120,47,194,241,5.919395465994962,7.2388059701492535,6.9372481289579735
Jarace Walker,IND,75,1187,25,204,229,3.51123595505618,7.795185326709973,6.878942625413037
Dillon Brooks,HOU,75,2388,75,200,275,6.25,7.107320540156362,6.851021425012456
LaMelo Ball,CHA,47,1505,47,185,232,5.147864184008762,7.462686567164178,6.839622641509433
Aaron Gordon,DEN,51,1447,80,167,247,9.049773755656108,6.108266276517922,6.826976229961304
Max Christie,DAL,78,2127,38,220,258,4.033970276008493,7.665505226480835,6.76810073452256
Kenrich Williams,OKC,69,1132,65,176,241,7.775119617224881,6.458715596330275,6.767761864644763
Isaiah Collier,UTA,71,1839,32,203,235,3.535911602209945,7.904984423676012,6.766484307515117
Dean Wade,CLE,59,1253,51,198,249,5.567685589519651,7.132564841498559,6.7443120260021665
Chris Boucher,TOR,50,862,70,154,224,7.391763463569166,6.3741721854304645,6.660719595599167
Dalton Knecht,LAL,78,1494,37,179,216,4.849279161205767,7.18586912886391,6.637984019668101
Jake LaRavia,SAC,66,1349,90,169,259,9.19305413687436,5.773829859924838,6.630824372759856
Anthony Black,ORL,78,1887,52,178,230,5.797101449275362,6.904577191621413,6.618705035971223
Terry Rozier,MIA,64,1658,44,194,238,5.5,6.9137562366357805,6.600110926234054
Jonathan Kuminga,GSW,47,1144,56,161,217,6.021505376344086,6.813372831146847,6.589735803218949
Orlando Robinson,TOR,44,770,89,131,220,9.398099260823653,5.422185430463576,6.541778174249183
Neemias Queta,BOS,62,863,89,147,236,9.737417943107221,5.448480355819125,6.533776301218161
Donte DiVincenzo,MIN,62,1606,32,196,228,3.7339556592765457,7.424242424242425,6.519874177866742
Drew Eubanks,LAC,61,746,60,166,226,7.5566750629722925,6.1940298507462686,6.505469199769717
Andrew Nembhard,IND,65,1881,34,182,216,4.775280898876404,6.954528085594191,6.488434965455092
Klay Thompson,DAL,72,1965,44,202,246,4.670912951167728,7.038327526132404,6.453305351521512
Peyton Watson,DEN,68,1656,47,186,233,5.316742081447964,6.803218727139722,6.440022111663903
Cason Wallace,OKC,68,1876,71,158,229,8.492822966507177,5.798165137614679,6.430777871384443
Trae Young,ATL,76,2739,36,200,236,3.592814371257485,7.317965605561653,6.318607764390897
Kawhi Leonard,LAC,37,1180,35,184,219,4.408060453400504,6.865671641791045,6.303972366148532
Kyrie Irving,DAL,50,1804,60,180,240,6.369426751592357,6.2717770034843205,6.295907660020986
Patrick Williams,CHI,63,1576,43,194,237,5.005820721769499,6.673546611627107,6.293149229952204
Zion Williamson,NOP,30,857,76,140,216,7.991587802313354,5.640612409347301,6.291872997378387
Cody Martin,PHX,53,1173,53,171,224,6.551297898640297,6.200145032632342,6.279786935800392
Nicolas Batum,LAC,78,1367,47,171,218,5.919395465994962,6.380597014925374,6.275187104202648
Malik Monk,SAC,65,2054,30,215,245,3.0643513789581207,7.345404851383669,6.272401433691756
Oso Ighodaro,PHX,61,1046,66,156,222,8.15822002472188,5.656272661348803,6.223717409587889
Corey Kispert,WAS,61,1602,36,145,181,5.429864253393665,6.455921638468388,6.22206943966999
Sam Hauser,BOS,71,1541,44,180,224,4.814004376367615,6.6716085989621945,6.2015503875969
CJ McCollum,NOP,56,1832,42,170,212,4.416403785488959,6.8493150684931505,6.175356830760268
Tyrese Maxey,PHI,52,1960,15,159,174,2.112676056338028,7.461285781323322,6.124604012671594
